record_id,paper_key,context_key,condition_key,assay_key,observable,observable_raw_label,value,value_unit,time_value,time_unit,statistic,uncertainty_type,uncertainty_value,replicate_count,normalization,normalization_reference,source_key,figure,panel,table,lane,extraction_method,quality_class,is_censored,censoring_limit,notes
shao_fig3a_p_rnpii_s2_plc5_48h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_48_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 48h, 0 nM dinaciclib",1.18,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_48h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 48h, 10 nM dinaciclib",0.68,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_48h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 48h, 15 nM dinaciclib",0.51,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_48h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 48h, 5 nM dinaciclib",1.09,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_72h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_72_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 72h, 0 nM dinaciclib",0.75,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_72h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 72h, 10 nM dinaciclib",0.66,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_72h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 72h, 15 nM dinaciclib",0.23,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_p_rnpii_s2_plc5_72h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_p_rnpii_s2,"p-RNPII (S2), PLC5, 72h, 5 nM dinaciclib",0.75,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_48h_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 48h, 0 nM dinaciclib",0.94,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_48h_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 48h, 10 nM dinaciclib",0.27,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_48h_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 48h, 15 nM dinaciclib",0.25,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_48h_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 48h, 5 nM dinaciclib",1.04,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_72h_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 72h, 0 nM dinaciclib",1.67,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_72h_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 72h, 10 nM dinaciclib",0.27,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_72h_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 72h, 15 nM dinaciclib",0.1,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_huh7_72h_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), HuH7, 72h, 5 nM dinaciclib",0.42,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rb_total_plc5_48h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 48h, 0 nM dinaciclib",1.18,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_48h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 48h, 10 nM dinaciclib",0.68,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_48h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 48h, 15 nM dinaciclib",0.51,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_48h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 48h, 5 nM dinaciclib",1.09,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_72h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 72h, 0 nM dinaciclib",0.75,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_72h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 72h, 10 nM dinaciclib",0.66,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_72h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 72h, 15 nM dinaciclib",0.23,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rb_total_plc5_72h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rb_total,"Rb (total), PLC5, 72h, 5 nM dinaciclib",0.75,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,NOT_MODEL_READY,False,,"DATA-QUALITY FLAG: this 'Rb (total), PLC5' row is numerically identical (to 2 decimal places, all 4 dose points) to the 'p-RNPII (S2), PLC5' row in the same figure/time point -- likely a source-figure duplication, not a transcription error on our end. Not treated as an independent quantitative measurement; see Fig5A for a larger version of the same pattern."
shao_fig3a_rnpii_total_huh7_48h_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 48h, 0 nM dinaciclib",0.58,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_48h_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 48h, 10 nM dinaciclib",0.71,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_48h_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 48h, 15 nM dinaciclib",0.49,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_48h_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 48h, 5 nM dinaciclib",0.95,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_72h_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 72h, 0 nM dinaciclib",0.77,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_72h_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 72h, 10 nM dinaciclib",0.33,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_72h_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 72h, 15 nM dinaciclib",0.2,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_huh7_72h_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), HuH7, 72h, 5 nM dinaciclib",0.57,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_48h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 48h, 0 nM dinaciclib",0.75,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_48h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 48h, 10 nM dinaciclib",0.49,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_48h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 48h, 15 nM dinaciclib",0.19,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_48h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 48h, 5 nM dinaciclib",0.67,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_72h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 72h, 0 nM dinaciclib",0.33,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_72h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 72h, 10 nM dinaciclib",0.35,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_72h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 72h, 15 nM dinaciclib",0.09,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3a_rnpii_total_plc5_72h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_72_h_target_engagement,shao_wb_target_engagement,densitometry_rnpii_total,"RNPII (total), PLC5, 72h, 5 nM dinaciclib",0.54,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,A,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane.
shao_fig3b_bak_huh7_48h_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 48h, 0 nM dinaciclib",0.88,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_48h_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 48h, 10 nM dinaciclib",0.61,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_48h_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 48h, 15 nM dinaciclib",0.76,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_48h_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 48h, 5 nM dinaciclib",0.8,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_72h_0nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__vehicle_control_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 72h, 0 nM dinaciclib",0.77,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_72h_10nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 72h, 10 nM dinaciclib",0.8,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_72h_15nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 72h, 15 nM dinaciclib",0.76,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_huh7_72h_5nm,paper_PMID31561409,huh7_shao_in_vitro,huh7_shao_in_vitro__dinaciclib_5_nm_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, HuH7, 72h, 5 nM dinaciclib",0.84,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_48h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 48h, 0 nM dinaciclib",1.1,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_48h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 48h, 10 nM dinaciclib",0.61,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_48h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 48h, 15 nM dinaciclib",0.4,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_48h_5nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_5_nm_48_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 48h, 5 nM dinaciclib",1.05,relative densitometry,48.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_72h_0nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__vehicle_control_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 72h, 0 nM dinaciclib",0.59,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_72h_10nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_10_nm_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 72h, 10 nM dinaciclib",0.48,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
shao_fig3b_bak_plc5_72h_15nm,paper_PMID31561409,plc5_shao_in_vitro,plc5_shao_in_vitro__dinaciclib_15_nm_72_h_survival_signaling,shao_wb_survival_signaling,densitometry_bak,"Bak, PLC5, 72h, 15 nM dinaciclib",0.36,relative densitometry,72.0,h,densitometry ratio,,,,,,workbook,Figure 3,B,,,DIRECT_SOURCE,QUANTITATIVE,False,,Explicit densitometry printed directly below each lane. Mcl-1/XIAP/survivin decline consistently with dose+time; Bcl-2/Bak stay comparatively flat; Bim rises.
