condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
wm1341d_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm1341d_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1366_in_vitro__birinapant_1000_nm_48_h__step_1,wm1366_in_vitro__birinapant_1000_nm_48_h,Birinapant,1000,nM,0,48,h,1,
wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h__step_1,wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,Birinapant,1000,nM,0,24,h,1,
wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h__step_2,wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_24_h,TNF-alpha,1,ng/mL,0,24,h,2,
wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_1,wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,Birinapant,1000,nM,0,48,h,1,
wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_2,wm1366_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,2,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h__step_1,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,Birinapant,1000,nM,0,72,h,1,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h__step_2,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h__step_3,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_0_um_72_h,Necrostatin-1,0.0,uM,0,72,h,3,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h__step_1,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,Birinapant,1000,nM,0,72,h,1,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h__step_2,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h__step_3,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_necrostatin_1_10_um_72_h,Necrostatin-1,10.0,uM,0,72,h,3,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h__step_1,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,Birinapant,1000,nM,0,72,h,1,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h__step_2,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h__step_3,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_0_um_72_h,Z-VAD-FMK,0.0,uM,0,72,h,3,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h__step_1,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,Birinapant,1000,nM,0,72,h,1,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h__step_2,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h__step_3,wm1366_in_vitro__birinapant_1_um_tnf_alpha_1_ng_ml_z_vad_fmk_10_um_72_h,Z-VAD-FMK,10.0,uM,0,72,h,3,
wm1366_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm1366_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm1366_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm1366_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1366_in_vitro__tnf_alpha_1_ng_ml_48_h__step_1,wm1366_in_vitro__tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,1,
wm1366_in_vitro__vehicle_control__step_1,wm1366_in_vitro__vehicle_control,Vehicle,,,,,,1,
wm1366_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_1,wm1366_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,Birinapant,1000,nM,0,72,h,1,
wm1366_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_2,wm1366_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,TNF-alpha,1,ng/mL,0,72,h,2,
wm164_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm164_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm164_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm164_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1799_in_vitro__birinapant_alone_dose_response_72_h__step_1,wm1799_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm1799_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm1799_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm1799_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm1799_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm1985_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm1985_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm1985_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm1985_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm3130_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm3130_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm3130_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm3130_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm3670_in_vitro__birinapant_alone_dose_response_72_h__step_1,wm3670_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm3670_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm3670_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm3670_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm3670_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm3854_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm3854_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm3854_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm3854_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm3918_in_vitro__birinapant_alone_dose_response_72_h__step_1,wm3918_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm3918_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm3918_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm3918_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm3918_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm793b_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm793b_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm793b_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm793b_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm8_in_vitro__birinapant_alone_dose_response_72_h__step_1,wm8_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm8_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm8_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm8_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm8_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm9_in_vitro__birinapant_0_nm_72_h__step_1,wm9_in_vitro__birinapant_0_nm_72_h,Birinapant,0.0,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_24_h__step_1,wm9_in_vitro__birinapant_1000_nm_24_h,Birinapant,1000,nM,0,24,h,1,
wm9_in_vitro__birinapant_1000_nm_48_h__step_1,wm9_in_vitro__birinapant_1000_nm_48_h,Birinapant,1000,nM,0,48,h,1,
wm9_in_vitro__birinapant_1000_nm_72_h__step_1,wm9_in_vitro__birinapant_1000_nm_72_h,Birinapant,1000.0,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_1,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,Birinapant,1000,nM,0,48,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h__step_2,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,2,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_001_ug_ml_72_h__step_1,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_001_ug_ml_72_h,Birinapant,1000,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_001_ug_ml_72_h__step_2,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_001_ug_ml_72_h,TNF-alpha blocking antibody,0.001,ug/mL,0,72,h,2,Neutralizing monoclonal antibody against endogenous TNF-alpha.
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_01_ug_ml_72_h__step_1,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_01_ug_ml_72_h,Birinapant,1000,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_01_ug_ml_72_h__step_2,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_01_ug_ml_72_h,TNF-alpha blocking antibody,0.01,ug/mL,0,72,h,2,Neutralizing monoclonal antibody against endogenous TNF-alpha.
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_1_ug_ml_72_h__step_1,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_1_ug_ml_72_h,Birinapant,1000,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_1_ug_ml_72_h__step_2,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_0_1_ug_ml_72_h,TNF-alpha blocking antibody,0.1,ug/mL,0,72,h,2,Neutralizing monoclonal antibody against endogenous TNF-alpha.
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_10_ug_ml_72_h__step_1,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_10_ug_ml_72_h,Birinapant,1000,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_10_ug_ml_72_h__step_2,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_10_ug_ml_72_h,TNF-alpha blocking antibody,10.0,ug/mL,0,72,h,2,Neutralizing monoclonal antibody against endogenous TNF-alpha.
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_1_ug_ml_72_h__step_1,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_1_ug_ml_72_h,Birinapant,1000,nM,0,72,h,1,
wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_1_ug_ml_72_h__step_2,wm9_in_vitro__birinapant_1000_nm_tnf_alpha_blocking_mab_1_ug_ml_72_h,TNF-alpha blocking antibody,1.0,ug/mL,0,72,h,2,Neutralizing monoclonal antibody against endogenous TNF-alpha.
wm9_in_vitro__birinapant_100_nm_72_h__step_1,wm9_in_vitro__birinapant_100_nm_72_h,Birinapant,100.0,nM,0,72,h,1,
wm9_in_vitro__birinapant_10_nm_72_h__step_1,wm9_in_vitro__birinapant_10_nm_72_h,Birinapant,10.0,nM,0,72,h,1,
wm9_in_vitro__birinapant_1_nm_72_h__step_1,wm9_in_vitro__birinapant_1_nm_72_h,Birinapant,1.0,nM,0,72,h,1,
wm9_in_vitro__birinapant_alone_dose_response_72_h__step_1,wm9_in_vitro__birinapant_alone_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm9_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wm9_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wm9_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wm9_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
wm9_in_vitro__tnf_alpha_1_ng_ml_48_h__step_1,wm9_in_vitro__tnf_alpha_1_ng_ml_48_h,TNF-alpha,1,ng/mL,0,48,h,1,
wm9_in_vitro__vehicle_control__step_1,wm9_in_vitro__vehicle_control,Vehicle,,,,,,1,
wm9_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_1,wm9_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,Birinapant,1000,nM,0,72,h,1,
wm9_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid__step_2,wm9_spheroid__birinapant_1000_nm_tnf_alpha_1_ng_ml_72_h_spheroid,TNF-alpha,1,ng/mL,0,72,h,2,
wth202_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_1,wth202_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,Birinapant,,nM,0,72,h,1,"IC50-determining dose-response, approximately 1-1000 nM range."
wth202_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h__step_2,wth202_in_vitro__birinapant_tnf_alpha_1_ng_ml_dose_response_72_h,TNF-alpha,1,ng/mL,0,72,h,2,
