observation_key,assay_key,condition_key,value,unit,quality_class,uncertainty_type,uncertainty_value,notes
obs_206,fig8a_pathway_wb,ovcar5_onc201_100_24h_fig8a,0.35,relative (1.0=control),QUANTITATIVE,,,"p-p42/44, visual est."
obs_207,fig8a_pathway_wb,skov3_onc201_0_24h_fig8a,1.0,relative (1.0=control),QUANTITATIVE,,,"p-AKT, visual est."
obs_208,fig8a_pathway_wb,skov3_onc201_1_24h_fig8a,0.8,relative (1.0=control),QUANTITATIVE,,,"p-AKT, visual est."
obs_209,fig8a_pathway_wb,skov3_onc201_10_24h_fig8a,0.55,relative (1.0=control),QUANTITATIVE,,,"p-AKT, visual est."
obs_210,fig8a_pathway_wb,skov3_onc201_100_24h_fig8a,0.4,relative (1.0=control),QUANTITATIVE,,,"p-AKT, visual est."
obs_211,fig8a_pathway_wb,skov3_onc201_0_24h_fig8a,1.0,relative (1.0=control),QUANTITATIVE,,,"p-AMPK, visual est."
obs_212,fig8a_pathway_wb,skov3_onc201_1_24h_fig8a,1.2,relative (1.0=control),QUANTITATIVE,,,"p-AMPK, visual est."
obs_213,fig8a_pathway_wb,skov3_onc201_10_24h_fig8a,1.4,relative (1.0=control),QUANTITATIVE,,,"p-AMPK, visual est."
obs_214,fig8a_pathway_wb,skov3_onc201_100_24h_fig8a,1.5,relative (1.0=control),QUANTITATIVE,,,"p-AMPK, visual est."
obs_215,fig8a_pathway_wb,skov3_onc201_0_24h_fig8a,1.0,relative (1.0=control),QUANTITATIVE,,,"p-S6, visual est."
obs_216,fig8a_pathway_wb,skov3_onc201_1_24h_fig8a,0.75,relative (1.0=control),QUANTITATIVE,,,"p-S6, visual est."
obs_217,fig8a_pathway_wb,skov3_onc201_10_24h_fig8a,0.5,relative (1.0=control),QUANTITATIVE,,,"p-S6, visual est."
obs_218,fig8a_pathway_wb,skov3_onc201_100_24h_fig8a,0.35,relative (1.0=control),QUANTITATIVE,,,"p-S6, visual est."
obs_219,fig8a_pathway_wb,skov3_onc201_0_24h_fig8a,1.0,relative (1.0=control),QUANTITATIVE,,,"p-p42/44, visual est."
obs_220,fig8a_pathway_wb,skov3_onc201_1_24h_fig8a,0.8,relative (1.0=control),QUANTITATIVE,,,"p-p42/44, visual est."
obs_221,fig8a_pathway_wb,skov3_onc201_10_24h_fig8a,0.55,relative (1.0=control),QUANTITATIVE,,,"p-p42/44, visual est."
obs_222,fig8a_pathway_wb,skov3_onc201_100_24h_fig8a,0.35,relative (1.0=control),QUANTITATIVE,,,"p-p42/44, visual est."
